Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C1",".1u","C_0402_1005Metric",159.799020,-81.625440,270.000000,top
"C2",".1u","C_0402_1005Metric",158.584900,-93.878400,0.000000,top
"C3",".01u","C_0402_1005Metric",158.689040,-81.615280,270.000000,top
"C4","1u","C_0402_1005Metric",160.865820,-81.224120,270.000000,top
"C5","0.1u","C_0402_1005Metric",156.235400,-97.066100,0.000000,top
"C6","22p","C_0402_1005Metric",156.121100,-81.894680,0.000000,top
"C7","22p","C_0402_1005Metric",155.371800,-80.784700,180.000000,top
"C8","10u","C_0603_1608Metric",166.248080,-112.052100,0.000000,top
"C9","1u","C_0402_1005Metric",164.863780,-117.157500,180.000000,top
"C10",".1u","C_0402_1005Metric",125.702060,-83.522820,180.000000,top
"C11","1u","C_0402_1005Metric",196.786500,-79.626460,90.000000,top
"C12",".01u","C_0402_1005Metric",125.702060,-82.265520,180.000000,top
"C13",".1u","C_0402_1005Metric",186.847480,-80.650080,90.000000,top
"C14","1u","C_0402_1005Metric",125.663960,-81.033620,180.000000,top
"C15","1u","C_0402_1005Metric",195.135500,-82.928460,0.000000,top
"C16","33n","C_0402_1005Metric",123.657360,-119.552720,0.000000,top
"C17","10n","C_0402_1005Metric",122.044600,-124.536200,0.000000,top
"C18","1n","C_0402_1005Metric",122.044600,-123.520200,0.000000,top
"C19",".1u","C_0402_1005Metric",169.771060,-96.410780,0.000000,top
"C20",".01u","C_0402_1005Metric",167.485060,-95.077280,180.000000,top
"C21","1u","C_0402_1005Metric",167.485060,-96.283780,180.000000,top
"C22","2.2p","C_0402_1005Metric",117.449600,-126.291200,90.000000,top
"C23","4.7p","C_0402_1005Metric",116.433600,-126.291200,90.000000,top
"C24","22p","C_0402_1005Metric",114.757200,-123.520200,90.000000,top
"C25","22p","C_0402_1005Metric",114.721640,-119.085360,90.000000,top
"C26",".1u","C_0402_1005Metric",146.121120,-135.453120,180.000000,top
"C27",".01u","C_0402_1005Metric",146.121120,-134.246620,180.000000,top
"C28","1.5p","C_0402_1005Metric",119.481600,-127.330200,90.000000,top
"C29","1u","C_0402_1005Metric",146.121120,-133.040120,180.000000,top
"C30","1pF","C_0402_1005Metric",119.966600,-128.854200,180.000000,top
"C31",".1u","C_0402_1005Metric",156.093160,-118.079520,0.000000,top
"C32",".01u","C_0402_1005Metric",156.093160,-116.911120,0.000000,top
"C33","1u","C_0402_1005Metric",154.218640,-120.324880,270.000000,top
"C34",".1u","C_0402_1005Metric",146.692620,-111.810800,180.000000,top
"C35",".01u","C_0402_1005Metric",146.695160,-112.900460,180.000000,top
"C36","1u","C_0402_1005Metric",146.695160,-110.710980,180.000000,top
"C37","1u","C_0402_1005Metric",196.786500,-76.197460,90.000000,top
"C38","1u","C_0402_1005Metric",197.294500,-74.292460,0.000000,top
"C42",".1u","C_0402_1005Metric",183.388000,-117.500400,180.000000,top
"G***","LOGO","Logo",204.919580,-69.448680,0.000000,top
"L1","10u","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",156.591000,-95.770700,180.000000,top
"L2","2.7n","L_0402_1005Metric",117.980600,-124.790200,0.000000,top
"L3","8.2n","L_0402_1005Metric",118.996600,-123.774200,0.000000,top
"L4","3.9n","L_0402_1005Metric",119.481600,-125.275200,90.000000,top
"Q1","Si2301CDS","SOT-23",149.250400,-67.030600,270.000000,top
"R1","10k","R_0402_1005Metric",169.321480,-88.084800,270.000000,top
"R2","4.7k","R_0402_1005Metric",167.452040,-91.246960,0.000000,top
"R3","4.7k","R_0402_1005Metric",168.104820,-93.035120,90.000000,top
"R4","330","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",164.144960,-121.292620,270.000000,top
"R5","R_Small","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",138.417300,-80.238600,180.000000,top
"R6","4.7k","R_0402_1005Metric",160.350200,-131.015600,270.000000,top
"R7","22k","R_0402_1005Metric",123.764040,-121.726960,0.000000,top
"R8","4.7k","R_0402_1005Metric",177.411380,-94.980760,0.000000,top
"R9","4.7k","R_0402_1005Metric",177.368060,-93.690440,0.000000,top
"R10","4.7k","R_0402_1005Metric",177.380900,-92.461080,0.000000,top
"R11","1M","R_0402_1005Metric",114.736880,-121.302640,90.000000,top
"R12","10k","R_0402_1005Metric",156.100920,-119.283480,0.000000,top
"R13","400k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",185.176160,-72.803880,270.000000,top
"R14","400k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",185.178700,-69.321680,270.000000,top
"R15","4.7k","R_0402_1005Metric",151.970600,-126.619000,0.000000,top
"R16","1k","R_0402_1005Metric",186.133740,-99.806760,90.000000,top
"U1","ATmega328P-AU","TQFP-32_7x7mm_P0.8mm",158.592520,-88.038940,180.000000,top
"U2","MAX7219","SOP-24_7.5x15.4mm_P1.27mm",126.192280,-74.533760,90.000000,top
"U3","MAX232ESE+T","SOIC-16_3.9x9.9mm_P1.27mm",191.452500,-76.197460,90.000000,top
"U4","nRF24L01P","QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm",119.344440,-120.284240,180.000000,top
"U5","AT24C256C-SSHL-T","SOIC-8_3.9x4.9mm_P1.27mm",172.438060,-93.108780,90.000000,top
"U6","DS3231M","SOIC-16W_7.5x10.3mm_P1.27mm",154.152600,-137.586720,270.000000,top
"U7","TXS0108EPW","TSSOP-20_4.4x6.5mm_P0.65mm",151.310340,-115.130580,0.000000,top
"U10","TPS7A0533","SOT-23",165.486080,-114.846100,90.000000,top
